Field,Type,Null,Key,Default,Extra
Id,bigint,NO,,NULL,
UserName,longtext,YES,,NULL,
NormalizedUserName,longtext,YES,,NULL,
Email,longtext,YES,,NULL,
NormalizedEmail,longtext,YES,,NULL,
EmailConfirmed,tinyint(1),NO,,NULL,
PasswordHash,longtext,YES,,NULL,
SecurityStamp,longtext,YES,,NULL,
ConcurrencyStamp,longtext,YES,,NULL,
PhoneNumber,longtext,YES,,NULL,
PhoneNumberConfirmed,tinyint(1),NO,,NULL,
TwoFactorEnabled,tinyint(1),NO,,NULL,
LockoutEnd,datetime(6),YES,,NULL,
LockoutEnabled,tinyint(1),NO,,NULL,
AccessFailedCount,int,NO,,NULL,
